"id","name","type","rarity","attunement","source","extra","description","price","subtype","weight","merchants"
6233," Necklace of Adaptation","Wondrous Item","uncommon",True,"Player's Handbook 182",NULL,"While wearing this necklace, you can breathe normally in any environment, and you have advantage on saving throws made against harmful gases and vapors (such as cloudkill and stinking cloud effects, inhaled poisons, and the breath weapons of some dragons).","1500",NULL,NULL,"general"
5953,"Abracadabrus","Wondrous Item","very rare",False,"Icewind Dale: RInfernal Machine Rebuilde of the Frostmaiden",NULL,"An abracadabrus is an ornate, gemstone-studded wooden chest that weighs 25 pounds while empty. Its interior compartment is a cube measuring 1 1/2 feet on a side. The chest has 20 charges. A creature can use an action to touch the closed lid of the chest and expend 1 of the chest's charges while naming one or more nonmagical objects (including raw materials, foodstuffs, and liquids) worth a total of 1 gp or less. The named objects magically appear in the chest, provided they can all fit inside it and the chest doesn't contain anything else. For example, the chest can conjure a plate of strawberries, a bowl of hot soup, a flagon of water, a stuffed animal, or a bag of twenty caltrops. Food and drink conjured by the chest are delicious, and they spoil if not consumed after 24 hours. Gems and precious metals created by the chest disappear after 1 minute. The chest regains 1d20 expended charges daily at dawn. If the item's last charge is expended, roll a d20. On a 1, the chest loses its magic (becoming an ordinary chest), and its gemstones turn to dust.","27000",NULL,NULL,"wizard"
2247,"Absorbing Tattoo","Wondrous Item","very rare",True,"Tasha's Cauldron of Everything 119",NULL,"Produced by a special needle, this magic tattoo features designs that emphasize one color. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin. Tattoo Attunement. If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to a type of damage associated with that color, as shown on the table below. The DM chooses the color or determines it randomly. Damage Resistance. Absorbing Tattoo d10 Damage Type Color 1 Acid Green 2 Cold Blue 3 Fire Red 4 Force White 5 Lightning Yellow 6 Necrotic Black 7 Poison Violet 8 Psychic Silver 9 Radiant Gold 10 Thunder Orange Absorbing Tattoo d10 Damage Type Color 1 Acid Green 2 Cold Blue 3 Fire Red 4 Force White 5 Lightning Yellow 6 Necrotic Black 7 Poison Violet 8 Psychic Silver 9 Radiant Gold 10 Thunder Orange Absorbing Tattoo Absorbing Tattoo d10 Damage Type Color d10 Damage Type Color 1 Acid Green 1 Acid Green 2 Cold Blue 2 Cold Blue 3 Fire Red 3 Fire Red 4 Force White 4 Force White 5 Lightning Yellow 5 Lightning Yellow 6 Necrotic Black 6 Necrotic Black 7 Poison Violet 7 Poison Violet 8 Psychic Silver 8 Psychic Silver 9 Radiant Gold 9 Radiant Gold 10 Thunder Orange 10 Thunder Orange Damage Absorption. When you take damage of the chosen type, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn. Damage Absorption.","27000",NULL,NULL,"concealer, wizard"
5754,"Acheron Blade","Weapon","rare",True,"Explorer's Guide to Wildemount",NULL,"The black blade of this sword is crafted from a mysterious arcane alloy. You gain a +1 bonus to attack and damage rolls made with this magic weapon. While the sword is on your person, you are immune to effects that turn undead. Dark Blessing. While holding the sword, you can use an action to give yourself 1d4 + 4 temporary hit points. This property can't be used again until the next dusk. Disheartening Strike. When you hit a creature with an attack using this weapon, you can fill the target with unsettling dread: the target has disadvantage on the next saving throw it makes before the end of your next turn. The creature ignores this effect if it's immune to the frightened condition. Once you use this property, you can't do so again until the next dusk.","2500",NULL,NULL,"smith, weaponsmith"
2275,"Adamantine Armor","Armor","uncommon",False,"Dungeon Master's Guide 150","medium - heavy - not hide","This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.","500","medium or heavy, but not hide",NULL,"armorer, general, smith"
2600,"Akmon Hammer of Purphoros","Weapon","artifact",True,"Mythic Odysseys of Theros 198","martial melee weapon","Purphoros's hammer works wonders and disasters, the god of the forge using it to craft ground-breaking marvels and dangerous inventions in equal measure. Purphoros rarely bestows Akmon on mortals but occasionally leaves it unattended at his forge in Mount Velus. When Purphoros does permit a mortal to use the hammer, it's usually so they might bring an important work into being, wreck a force of destruction, or forge something remarkable somewhere the god isn't welcome.

Hammer of the Forge. This magic warhammer grants a +3 bonus to attack and damage rolls made with it. When you hit with an attack using it, the target takes an extra 3d10 fire damage.

Blessing of the Forge. If you are a worshiper of Purphoros, you gain all the following benefits for which you have the required piety:

Piety 10+. The hammer has 1 randomly determined minor beneficial property.
Piety 25+. The hammer has 1 randomly determined major beneficial property.
Piety 50+. The hammer has 1 additional randomly determined major beneficial property.
If you aren't a worshiper of Purphoros, the hammer has 2 randomly determined minor detrimental properties.

See ""Artifacts"" in chapter 7 of the Dungeon Master's Guide for details on randomly determined properties.

Reforged. While holding the hammer, you have resistance to fire damage and are immune to exhaustion. Additionally, you have proficiency with smith's tools and have advantage on all ability checks made using them.

Spells. While the hammer is on your person, you can use an action to cast one of the following spells (save DC 18): Animate Objects, Heat Metal, Fabricate, Magic Weapon, Mending, Shatter. Once you use the hammer to cast a spell, the spell can't be cast again from it until the next dusk.

Destroying the Hammer. To destroy the hammer, it must be taken to the realm of Tizerus, in the Underworld. There it must be coated in clay from the Mire of Punishment. The heat of the hammer hardens the clay, which fuses to it after one month. Once fully hardened, the clay-covered hammer must be swallowed and digested by a kraken.",NULL,"warhammer",NULL,NULL
2427,"Alchemical Compendium","Wondrous Item","rare",True,"Tasha's Cauldron of Everything 119","by a wizard","Acrid odors cling to this stained, heavy volume. The book's metal fittings are copper, iron, lead, silver, and gold, some frozen mid-transition from one metal to another. When found, the book contains the following spells: Enlarge/Reduce, Feather Fall, Flesh to Stone, Gaseous Form, Magic Weapon, and Polymorph. It functions as a spellbook for you. Enlarge/Reduce Feather Fall Flesh to Stone Gaseous Form Magic Weapon Polymorph While you are holding the book, you can use it as a spellcasting focus for your wizard spells. The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it: If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the transmutation school. As an action, you can touch a nonmagical object that isn't being worn or carried and spend a number of charges to transform the target into another object. For 1 charge, the object can be no larger than 1 foot on a side. You can spend additional charges to increase the maximum dimensions by 2 feet per charge. The new object must have a gold value equal to or less than the original. If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the transmutation school. As an action, you can touch a nonmagical object that isn't being worn or carried and spend a number of charges to transform the target into another object. For 1 charge, the object can be no larger than 1 foot on a side. You can spend additional charges to increase the maximum dimensions by 2 feet per charge. The new object must have a gold value equal to or less than the original.","2500",NULL,NULL,"wizard"
2266,"Alchemy Jug","Wondrous Item","uncommon",False,"Dungeon Master's Guide 150",NULL,"This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty. You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named. Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn. Liquid Max Amount Acid 8 ounces Basic poison 1/2 ounce Beer 4 gallons Honey 1 gallon Mayonnaise 2 gallons Oil 1 quart Vinegar 2 gallons Water, fresh 8 gallons Water, salt 12 gallons Wine 1 gallon Liquid Max Amount Acid 8 ounces Basic poison 1/2 ounce Beer 4 gallons Honey 1 gallon Mayonnaise 2 gallons Oil 1 quart Vinegar 2 gallons Water, fresh 8 gallons Water, salt 12 gallons Wine 1 gallon Liquid Max Amount Liquid Max Amount Acid 8 ounces Acid 8 ounces Basic poison 1/2 ounce Basic poison 1/2 ounce Beer 4 gallons Beer 4 gallons Honey 1 gallon Honey 1 gallon Mayonnaise 2 gallons Mayonnaise 2 gallons Oil 1 quart Oil 1 quart Vinegar 2 gallons Vinegar 2 gallons Water, fresh 8 gallons Water, fresh 8 gallons Water, salt 12 gallons Water, salt 12 gallons Wine 1 gallon Wine 1 gallon","6000",NULL,NULL,"general"
5591,"Alchemy Jug (Blue)","Wondrous Item","uncommon",False,"Candlekeep Mysteries",NULL,"(This jug functions as an Alchemy Jug, except that it neither produces acid or poison. It can produce 1 quart of boiling hot tea instead.) This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty. You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named. Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn. Liquid Max Amount Boiling Hot Tea 1 quart Beer 4 gallons Honey 1 gallon Mayonnaise 2 gallons Oil 1 quart Vinegar 2 gallons Water, fresh 8 gallons Water, salt 12 gallons Wine 1 gallon","300",NULL,NULL,"general"
5592,"Alchemy Jug (Orange)","Wondrous Item","uncommon",False,"Candlekeep Mysteries",NULL,"(This jug functions as an Alchemy Jug, except that it neither produces acid or poison. It can produce 1 gallon of soy sauce instead.) This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty. You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named. Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn. Liquid Max Amount Soy Sauce 1 gallon Beer 4 gallons Honey 1 gallon Mayonnaise 2 gallons Oil 1 quart Vinegar 2 gallons Water, fresh 8 gallons Water, salt 12 gallons Wine 1 gallon","300",NULL,NULL,"general"
